#,Constituency,Name,Party,Party
6,Gandhinagar,Amit Shah,,
7,Ahmedabad East,Hasmukh Patel,,
8,Ahmedabad West(SC),Kirit Premjibhai Solanki,,
9,Surendranagar,Mahendra Munjapara,,
10,Rajkot,Mohan Kundariya,,
11,Porbandar,Rameshbhai Dhaduk,,
12,Jamnagar,Poonamben Maadam,,
13,Junagadh,Rajesh Chudasama,,
14,Amreli,Naranbhai Kachhadia,,
15,Bhavnagar,Bharti Shiyal,,
16,Anand,Mitesh Rameshbhai Patel,,
17,Kheda,Devusinh Jesingbhai Chauhan,,
18,Panchmahal,Ratansinh Rathod,,
19,Dahod(ST),Jasvantsinh Sumanbhai Bhabhor,,
20,Vadodara,Ranjanben Dhananjay Bhatt,,
21,Chhota Udaipur(ST),Gitaben Rathva,,
22,Bharuch,Mansukhbhai Vasava,,
23,Bardoli(ST),Parbhubhai Vasava,,
24,Surat,Darshana Jardosh,,
25,Navsari,C. R. Patil,,
26,Valsad(ST),K C Patel,,
1,Ambala(SC),Rattan Lal Kataria(Died on 18 May 2023)[7],,Bharatiya Janata Party
Vacant,Vacant,Vacant,,
2,Kurukshetra,Nayab Singh Saini(Resigned on 12 March 2024),,Bharatiya Janata Party
Vacant,Vacant,Vacant,,
3,Sirsa(SC),Sunita Duggal,,Bharatiya Janata Party
4,Hisar,Brijendra Singh,,
5,Karnal,Sanjay Bhatia,,
6,Sonipat,Ramesh Chander Kaushik,,
7,Rohtak,Arvind Kumar Sharma,,
8,Bhiwani–Mahendragarh,Dharambir Singh,,
9,Gurgaon,Rao Inderjit Singh,,
10,Faridabad,Krishan Pal Gurjar,,
1,Kangra,Kishan Kapoor,,Bharatiya Janata Party
2,Mandi,Ram Swaroop Sharma(Died on 17 March 2021),,
Pratibha Singh(Elected on 2 November 2021),,Indian National Congress,,
3,Hamirpur,Anurag Thakur,,Bharatiya Janata Party
4,Shimla(SC),Suresh Kumar Kashyap,,
1,Rajmahal(ST),Vijay Hansdak,,Jharkhand Mukti Morcha
2,Dumka(ST),Sunil Soren,,Bharatiya Janata Party
3,Godda,Nishikant Dubey,,
4,Chatra,Sunil Kumar Singh,,
5,Kodarma,Annapurna Devi Yadav,,
6,Giridih,Chandra Prakash Choudhary,,All Jharkhand Students Union
7,Dhanbad,Pashupati Nath Singh,,Bharatiya Janata Party
8,Ranchi,Sanjay Seth,,
