Speaker,Speech,Words_in_Speech,Language
Preamble,Title: Further discussion on the motion of thanks on the President's Address moved by Smt. Meenakshi Lekhi and seconded by Smt. Harsimat Kaur Badal (Discussion not concluded).,27,en
श्री सुल्तान अहमद (उलुबेरिया),"मैडम स्पीकर, आपका बहुत-बहुत धन्यवाद। आज मैं सदन में राष्ट्रपति जी के अभिभाषण पर कुछ टिप्पणी करने के लिए खड़ा हुआ हूँ। मेरी पार्टी की तरफ से मुझे यह कहा गया है कि यह एक सरकारी दस्तावेज़ है। इससे हक़ीकत का, सच्चाई का कोई ताल्लुक नहीं है। राष्ट्रपति जी ने अपने अभिभाषण की शुरुआत दीनदयाल उपाध्याय जी से की, जिनका सपना था गरीबों की उन्नति देखना, गरीबों की गरीबी दूर करना, गरीबों के चेहरे पर हंसी देखना। किसानों की समृद्धि, किसानों की तरक्की की बात उन्होंने कही, लेकिन आज इस देश में गरीबों की उन्नति सरकार ने इस तरह से की है कि फूड सिक्योरिटी के नाम से एक बिल वर्ष 2013 में आया था, उसे सरकार ने अब तक लागू नहीं कर पाई है। सरकार के जो सोशल वेंचर्स थे, सोशल प्रोजेक्ट्स थे, मनरेगा से लेकर आंगनवाड़ी तक सभी प्रोग्राम्स में रुपयों में कटौती की गयी। इनका बजट जो इन्हें खर्च करना चाहिए थ, इस सरकार ने पिछले वर्षों में नहीं किया। दीनदयाल उपाध्याय जी युवाओं को रोजगार देने की बात करते थे कि उन्हें रोजी-रोटी से जोड़ा जाए। आज यह सरकार बताए कि पिछले 19 महीनों में देश के कितने नौजवानों को नौकरी मिली? यह सरकार बताए कि देश के बेकार नौजवान इम्प्लायमेंट एक्सचेंज में नाम लिखाकर इंतजार करते हैं कि सरकारी दफ्तरों से उन्हें कोई सूचना मिलेगी, इस सरकार इसके लिए अब तक क्या कर पाई है? इसका कोई जिक्र राष्ट्रपति जी के अभिभाषण में नहीं है, उल्टे हम यह देख रहे हैं कि...(व्यवधान) PROF. SAUGATA ROY (DUM DUM): Madam Speaker, I want to draw your attention that the debate on the Motion of Thanks on the President’s Address is going on in the House and only one Minister is present in the Treasury Benches. … (Interruptions)",290,hi
HON. SPEAKER,Two Ministers are there. One Minister is sitting here and another is sitting there. … (Interruptions) PROF. SAUGATA ROY: Only two Ministers! … (Interruptions),24,en
HON. SPEAKER,"In fact, three Ministers are present in the House. Manekaji is also there. How can you say like this? Please take your seat. … (Interruptions)",25,en
माननीय अध्यक्ष,"सौगत राय जी, आप बिना देखे कैसे बोलते हैं, मेरा भी ध्यान है इन चीजों पर। हर चीज में नहीं बोलते हैं। मंत्री सदन में हैं। केवल विषय उठाने के लिए मत बोलिए, सौगत राय जी, आप सीनियर मेंबर हैं। …(व्यवधान)",41,hi
श्री सुल्तान अहमद,"मैडम, कल जब आप यहां नहीं थीं, कल इसी विषय पर चर्चा शुरू हुई, खड़गे जी बोल रहे थे, राजीव प्रताप जी जाकर प्रधानमंत्री जी को लेकर आए और उनके पीछे-पीछे चार-पांच कैबिनेट मिनिस्टर्स भी पहुंचे। 12.28 hours (Hon. Deputy Speakerin the Chair) कल श्री एम. वैंकैय्या नायडू जी ने एक घण्टे दस मिनट के अपने भाषण में प्रधानमंत्री जी की ... * * * के अलावा कुछ नहीं किया। ऐसा लग रहा था कि वह कसीदा पढ़ रहे थे। ...(व्यवधान)",81,hi
HON. DEPUTY SPEAKER,Unparliamentary words will be removed.,5,en
श्री सुल्तान अहमद,"कविता पढ़ रहे थे प्रधानमंत्री जी की शान में कि देश से सब गरीबी दूर हो गयी, किसान हंस रहे हैं, नौजवान स्टार्ट अप को लेकर अपनी रोजी बनाएंगे, लेकिन इसी देश में गुज़श्ता साल 1100 किसानों ने आत्महत्या की है, सिर्फ महाराष्ट्र में की है, मैं अन्य किसी जगह के बारे में नहीं कह रहा हूं। यहां महाराष्ट्र के सदस्यगण बैठे हैं।...(व्यवधान) महाराष्ट्र में पिछले दो महीनों में 200 लोगों ने किसानों ने आत्महत्या की है। अरूण जेटली जी यहां बैठे थे, जयंत सिन्हा जी ने एलान किया कि जो एनपीए हुआ है बैंको में, आज जो रुपया लोगों ने डुबाया है, सुप्रीम कोर्ट ने तालिका मांगी है, हमें लिस्ट दो किन लोगों ने किया है। ये सब बड़े लोग हैं, धनी लोग हैं, पूंजीपति हैं, लेकिन इस देश में जब किसान आत्महत्या करता है तो उसके सात दिनों के अंदर बैंक मैनेजर किसान के घर जाकर कहता है कि हमने तुमको लोन दिया था। उस किसान की बीवी और बेटा कहता है कि हमने लोन नहीं लिया था, मेरे पिताजी ने लोन काश्तकारी के लिए लोन लिया था, तो बैंक कहता है कि नहीं, तुम्हारे नाम में है, तुम्हारे पिता के नाम में है, तुम्हारे शौहर के नाम मे हैं। तुम्हारे पिता के नाम पर, तुम्हारे शौहर के नाम पर यह रुपया लिया गया था, अब हमें वापस दो। यह बैंकों का हाल है और हमारी सरकार इस साल 1 लाख 4 करोड़ रुपए जो बैंकों से लूटे गए हैं, उन्हें माफ कर रही है। यह पैसा लोन के रूप में बड़े लोगों ने लिया था, जिनका महाराष्ट्र में कारोबार फेल हो गया, लेकिन यू.पी. में जमा हुआ है। इसी तरह ये लोग दिल्ली में फेल होते हैं, लेकिन हैदराबाद में बड़ी-बड़ी इंडस्ट्रीज के मालिक हैं। हर तीन महीने में रजिस्ट्रार आफ कम्पनी का एकाउंट जाता है, तो उससे पता लगता है कि किसी को 25 फीसदी और किसी को 30 फीसदी फायदा हुआ है। यह सब रिकार्ड में है। सरकार ने किस सोच के तहत यह फैसला किया है कि 1 लाख 4 करोड़ रुपए वह माफ करेगी। टोटल देखा जाए तो 6 लाख करोड़ रुपए हैं, उसमें से 1 लाख 4 करोड़ रुपए माफ करने की बात है। देश के बड़े लोगों में से 50 फीसदी ने यह रुपया बैंकों का मारा है, घोटाला किया है। क्या सरकार ने कभी छोटे कारोबारी से पूछा है कि आपका कारोबार कैसे बंद हो गया? आप देखें बिजली के दामों में दिनों-दिन इजाफा होता जा रहा है और सरकार कहती है कि we are self-sufficient in energy. लेकिन हमारे छोटे कारोबारियों को, छोटे उद्योगपतियों को, एम.एस.ई. को बिजली नहीं मिल रही है, रॉ-मेटिरियल नहीं मिलता है। चीन का माल यहां आ रहा है और वे उससे कम्पीटिशन नहीं कर पा रहे हैं। इस कारण उनकी कम्पनीज और कारखानों में ताला लग रहा है। सरकार उसे नहीं देख रही है। केवल एंटी डम्पिंग कानून बनाकर रोकने की कोशिश की जा रही है, जबकि चीन का माल दूसरे मुल्कों के रास्ते हमारे देश में आ रहा है। इस तरह सरकार इस मामले में नाकाम हुई है और हमारे छोटे उद्योगपति बड़ी तादाद में दम तोड़ रहे हैं, एम.एस.ई. और एम.एस.एम.ई. दम तोड़ रही है। लेकिन सरकार इस बारे में कुछ नहीं कहती है कि हम छोटे कारोबारियों के साथ, छोटे उद्योगपतियों के साथ हैं। इसी तरह किसानों की फसल के दाम तय करने के लिए एम.एम.पी. दिया जाता है, लेकिन वह वास्तव में मिलता नहीं है। जब किसान अपना उत्पाद लेकर बाजार में जाता है तो उसे उचित मूल्य नहीं मिलता है। सरकार भी इस बात को जानती है। हमारे वित्त मंत्री जी ने कहा नहीं, हम तमाम सेक्टर्स को अलग-अलग देख रहे हैं, लेकिन वह केवल बड़े लोगों को देख रही है, छोटों को नहीं देख रही है। उपाध्यक्ष महोदय, राष्ट्रपति जी ने अभिभाषण की शुरूआत दीन दयाल उपाध्याय जी के नाम से शुरू की और नेता जी सुभाष चन्द्र बोस जी के नाम पर, उनके राष्ट्रवाद को लेकर और उनकी जो इस बारे में धारणा थी, उसे लेकर अपनी बात समाप्त की। हमारे देश में राष्ट्रवाद इन दो सालों में कमजोर हुआ है, यह बात सुल्तान अहमद या तृण मूल कांग्रेस नहीं कह रही है। अभी नेशनल माइनोरिटी कमीशन ने राज्यों के माइनोरिटी कमीशन की कांफ्रेंस ऑल इंडिया लेवल पर आयोजित की थी। उसमें हमारी मंत्री नजमा हेपतुल्ला और नकवी साहब भी थे। नेशनल माइनोरटी कमीशन के एडीशनल सेक्रेटरी ... * * * कहा, यह ‘इंडियन एक्सप्रेस’ अखबार की रिपोर्ट है:- “ Minister watching, Minority panel official says: Can’t sleep at night, mahaul worrying ” वह कह रहे हैं, सरकारी आदमी एडीशनल सेक्रेटरी... * * * कि मुझे रातों को नींद नहीं आती है। अक्लियत के लिए माहौल अच्छा नहीं है। जहां एक बड़ा अधिकारी यह कहे कि मुझे रात को नींद नहीं आती, वहां पर 15-20 करोड़ हम लोगों का क्या हाल होगा, प्रधान मंत्री जी को तो विदेश जाने-आने से ही फुर्सत नहीं है।",807,hi
HON. DEPUTY SPEAKER,The officer’s name does not go on record.,8,en
श्री सुल्तान अहमद,"माइनोरिटी कमीशन के एडीशनल सेक्रेटरी ने कहा है, I will place the paper cutting before you, Deputy Speaker, Sir. आज यह हालत है और यहां राष्ट्रवाद की दुहाई दी जाती है। नेता जी की जो आइडियोलॉजी थी, उन्होंने ब्रिटिश साम्राज्यवाद से लड़ने के लिए आजाद हिन्द फौज बनायी थी। दाहिने तरफ जनरल शाहनवाज हुआ करते थे और बायीं तरफ प्रेम सहगल हुआ करते थे। यह नेता जी सुभाष चन्द्र बोस की विचारधारा थी। नेता जी सुभाष चन्द्र बोस ने इनक्लुसिव नेशनलिज्म के बारे में कहा था। उनका नेशनलिज्म सिर्फ भारत नहीं था। उन्होंने एक बंगाली होने के बावजूद आजाद हिन्द फौज की बुनियाद अफगानिस्तान की सरज़मी पर डाली थी। सिंगापुर में उन्होंने बुनियाद डाली थी। नेशनलिज्म सिर्फ राष्ट्रवाद नहीं, उसे यूनिवर्सलनिज्म के साथ जोड़ा था। यह नेशनलिज्म का सपना नेता जी ने दिया था। आज आप बात नहीं कर सकते हैं, बयान नहीं दे सकते हैं। आप क्या खाएंगे, उसका फैसला भी आरएसएस करेगी, उसके लोग घर-घर जाकर करेंगे। यह नेशनलिज्म नेता जी का सपना नहीं था, यह नेशनलिज्म जवाहर लाल नेहरू का सपना नहीं था, यह नेशनलिज्म महात्मा गांधी का सपना नहीं था, यह नेशनलिज्म रवीन्द्र टैगोर का सपना नहीं था। उन्होंने जापान में जाकर नेशनलिज्म की बात की थी। उन्होंने पूरी दुनिया में भाईचारा फैलाया था। आप जब पार्लियामेंट एंटर करते हैं तो पार्लियामेंट की दीवार पर चस्पा है। पत्थर काटकर लिखा गया है- वसुधैव कुटुम्बकम। The whole universe is for human being. There are no geographical boundaries of humanity. मैं आरएसएस के भाइयों से कहूंगा, आरएसएस के प्रचारक से कहूंगा कि वह दीवार में जाकर काला रंग लगा दें कि नहीं, यह हम नहीं चाहते हैं। तुलसीदास ने कहा था कि मांग के खाइबो, मस्जिद में सोइबो। हम मांग के खा लेंगे और मस्जिद में सो लेंगे। तुलसीदास ने कहा था और रामायण में यह लिखा है। रवीन्द्रनाथ टैगोर जी ने कहा था- “ Patriotism cannot be our final spiritual shelter; my refuge is humanity. I will not buy glass for the price of diamonds, and I will never allow patriotism to triumph over humanity as long as I live. ” यह कहा कि हम इंसानियत पर किसी को तरजीह नहीं देना चाहते हैं। आज देश में मामूली अकीलियती फिरका के लोग, चाहे वह अब्दुल खालिक हो दादरी का, चाहे पूंजीपति हो, चाहे कॉलेज का प्रोफेसर हो, चाहे यूनिवर्सिटी के स्टूडेंट्स हों, अख्लाक की क्या गलती थी? अख्लाक का क्या कुसूर था? होम मिनिस्टर साहब यह कोशिश कर रहे हैं कि मुस्लिम सप्रदाय को बुलाकर समझाया जाए, लेकिन दिल जीतने का काम यह सरकार नहीं कर रही है। वह कोई कोशिश करते हैं तो हमारे लोग कहते हैं कि मुसलमान को आराम की नींद सोना है तो पाकिस्तान चले जाओ। यहीं से कहा जाता है। यह अफसोस की बात है। देश को बनाने में, देश की अर्थनीति में क्या 15-20 परसेंट अखलियतों का रोल नहीं है। आज क्रिश्चियन कम्युनिटी के गिरजों पर हमले हो रहे हैं। आज उन्हें नौकरियां नहीं मिल रही हैं। आज क्रिश्चियन परेशान हैं। ईसाई सोचने पर मजबूर हैं कि हमने क्या गलती की थी? अखलियत के लोग यह समझते थे, मैं खुद यह समझता था कि मोदी जी बहुत स्ट्रांग निकलेंगे। मोदी जी देश की इकोनॉमी को ठीक करेंगे। प्रधानमंत्री कहते थे कि न खाएंगे न खाने देंगे। लोगों को उस पर भरोसा था। लेकिन पिछले दिनों हमने देखा है कि दो साल में जो हाल इस सरकार का हो गया है। हम किसी जमाने में कहा करते थे कि यूपीए की सरकार पालिसी पैरालिसिस पर चल रही है, उसकी पालिसी को लकवा मार गया है। यह इसलिए हुआ क्योकि यूपीए-1 और यूपीए-2 का पावर सैंटर 10 जनपथ हो गया था और दूसरा प्रधान मंत्री, डा.मनमोहन सिंह हो गया था। हम लोगों ने जनता को सुना है, लोग कहते थे, वह बात नहीं करते। लेकिन देखने में सिर्फ यह फर्क सामने आया कि हमारे आज के प्रधान मंत्री बातें ज्यादा करते हैं और काम कम करते हैं, यह जनता कह रही है। 2012-13 में कांग्रेस के दो पावर सैंटर थे और उसे लकवा मार गया था और आज जो दो पावर सैंटर्स हैं, वह प्रधान मंत्री का पावर सैंटर है और दूसरा नागपुर का पावर सैंटर है। इस तरह से देश नहीं चलेगा। प्रो. सौगत राय : नागपुर में किसका हैडक्वार्टर है?",699,hi
