Speaker,Speech,Words_in_Speech,Language
Preamble,Title: Further discussion on Motion of Thanks on the President's Address moved by Shri Parvesh Sahib Singh Verma and seconded by Shri Ram Kripal Yadav on 3rd February.,28,en
SHRI ADHIR RANJAN CHOWDHURY (BAHARAMPUR),"Hon. Speaker Sir, I rise to dwell on the President’s Address. As we know, in our Parliamentary democracy, President’s Address is always recognised as a solemn occasion. The genesis of this exercise goes back to 1921. In the aftermath of Independence, the provisional Parliament, in the year 1950, lasted for two years, two months and 22 days. The number of Members were 313 and discussion was held for three days following the President’s Address. We know that President’s Address is regarded as a statement of policy whereby it contains the activities and achievements of the Government for the previous year. It also incorporates both internal and international policies of the Government. Everything is right but I fail to subscribe to the views enshrined in this President’s Address. And that, I will try to elucidate in my following speech. Sir, yesterday, Dr. Satya Pal Singhjiwas referring to Swami Vivekananda. His name was Narendranath Datta. He was trying to juxtapose the then Swami Vivekanandaji, who was a Saint and a Demigod, in our view, with the present Prime Minister of our country, Shri Narendra Modiji.Anybody can compare one with anybody else; there is no issue of it. But there is a yawning gap between Shri Narendranath Datta and Shri Narendra Modi. If one is regarded as‘Yogi’, another is regarded as… (Not recorded)…(Interruptions) डॉ. निशिकांत दुबे (गोड्डा): महोदय , यह अनपार्लियामेन्टरी शब्द है ।…(व्यवधान)",231,hi
SHRI ADHIR RANJAN CHOWDHURY,I have not referred to anybody’s name. …(Interruptions),8,en
SHRI KODIKUNNIL SURESH (MAVELIKKARA),"You can say anything in the House. …(Interruptions) Why are you protesting? …(Interruptions) THE MINISTER OF PARLIAMENTARY AFFAIRS, MINISTER OF COAL AND MINISTER OF MINES (SHRI PRALHAD JOSHI): Sir, this is unparliamentary. …(Interruptions) Sir, this is not correct. …(Interruptions) The Leader of the Congress Party is speaking. …(Interruptions)",48,en
SHRI ADHIR RANJAN CHOWDHURY,"Sir, I have not said any unparliamentary word. …(Interruptions) No unparliamentary word has been expressed by me. I am challenging you. …(Interruptions)",22,en
माननीय अध्यक्ष,इस शब्द को निकाल दीजिएगा । …( व्यवधान ),9,hi
माननीय अध्यक्ष,"माननीय सदस्य , एक मिनट रुकिए । …( व्यवधान )",10,hi
माननीय अध्यक्ष,"माननीय सदस्य , आप भी बड़े दल के फ्लोर नेता हैं । कोई भी ऐसा शब्द , जिसे एक्स्पंज करना पड़े , यह मुझे भी उचित नहीं लगता है । इसलिए मर्यादित रूप से बोलें , सदन आपका है ।",40,hi
श्री अधीर रंजन चौधरी,"सर , अगर आपको यह लगे कि मैंने कोई अनपार्लियामेन्टरी वर्ड इस्तेमाल किया है , तो आप जो चाहे वह कर सकते हैं , लेकिन मेरे बोलने का मकसद यह है कि we are living in a material word. Swami Vivekananda was living in a spiritual world. Whosoever is living in a spiritual world, he is regarded as a Saint, that is,‘Yogi’.Whosoever is living in a material world, he is called a‘Bhogi’.There is nothing wrong in it. …(Interruptions) We all are‘Bhogis’because we are living in a material world. Every one of us is a ‘Bhogi’.We all are ‘Bhogis’.…(Interruptions) Whoever lives in a material world is considered as a ‘Bhogi’.…(Interruptions)",109,hi
माननीय अध्यक्ष,एक मिनट रुकिए । महताब जी कुछ कहना चाहते हैं । …( व्यवधान ),14,hi
SHRI ADHIR RANJAN CHOWDHURY,"Sir, I am not yielding. …(Interruptions)",6,en
SHRI BHARTRUHARI MAHTAB (CUTTACK),"Sir, insinuation should not be allowed in this House. …(Interruptions) One is Parliamentary and the other is unparliamentary. But nobody should insinuate another person in this House who is also a Member of this House. …(Interruptions)",36,en
SHRI KODIKUNNIL SURESH,"Sir, he is not yielding. How can he speak? …(Interruptions)",10,en
